Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Florosaurus,DE,iPad,0,,The Hobbit: The Desolation of Smaug,play,,2022-06-07 11:22:21
Florosaurus,DE,iPad,0,,The Hobbit: The Desolation of Smaug,select,prequery_results,2022-06-07 11:22:17
Florosaurus,DE,iPad,0,,The Hobbit: The Desolation of Smaug,play,,2022-06-07 10:17:16
Florosaurus,DE,iPad,0,,The Hobbit: The Desolation of Smaug,select,prequery_results,2022-06-07 10:16:44
Florosaurus,DE,iPad,0,hobbi,The Hobbit: An Unexpected Journey,play,,2022-06-06 10:11:44
Florosaurus,DE,iPad,0,hobbi,The Hobbit: An Unexpected Journey,select,,2022-06-06 10:11:38
Florosaurus,DE,iPad,0,borg,"Borgen: Season 1: ""Episode 1""",play,,2022-06-03 15:46:37
Florosaurus,DE,iPad,0,borg,,select,,2022-06-03 15:46:15
Florosaurus,DE,iPad,0,borg,,select,,2022-06-03 15:43:40
Florosaurus,DE,iPad,0,borg,,select,,2022-06-03 15:43:26
Florosaurus,DE,iPad,0,borg,,select,,2022-06-03 15:43:10
Florosaurus,DE,iPad,0,borg,,select,,2022-06-03 15:43:06
Florosaurus,DE,Android Phone,0,stromber,"Stromberg: Staffel 1: ""Feueralarm""",play,title_results,2022-05-31 22:20:01
Florosaurus,DE,Android Phone,0,stromber,,select,title_results,2022-05-31 22:19:55
Florosaurus,DE,Android Phone,0,str,,select,title_results,2022-05-31 22:19:28
Florosaurus,DE,Android Phone,0,str,"Stromberg: Staffel 1: ""Der Parkplatz""",play,title_results,2022-05-31 22:17:56
Florosaurus,DE,Android Phone,0,str,,select,title_results,2022-05-31 22:17:47
Florosaurus,DE,iPad,0,russ,"Russian Doll: Season 2: ""Nowhen""",play,,2022-04-21 05:49:06
Florosaurus,DE,iPad,0,russ,,select,,2022-04-21 05:45:55
Florosaurus,DE,iPad,0,zur,Back to the Future Part II,play,,2022-04-07 22:57:28
Florosaurus,DE,iPad,0,zur,Back to the Future Part II,select,,2022-04-07 22:57:25
Florosaurus,DE,iPad,0,life is a,"Your Life Is a Joke: Season 1: ""Jennifer Weist""",play,,2022-04-07 21:48:36
Florosaurus,DE,iPad,0,life is a,,select,,2022-04-07 21:48:29
Florosaurus,DE,iPad,0,braunsch,,select,,2022-03-04 21:42:38
Florosaurus,DE,MVPD STB,0,hou,,play,title_results,2022-02-12 20:00:12
Florosaurus,DE,MVPD STB,0,hou,,select,title_results,2022-02-12 20:00:09
Florosaurus,DE,MVPD STB,0,hat,The Hateful Eight,play,title_results,2022-02-12 19:52:58
Florosaurus,DE,MVPD STB,0,hat,The Hateful Eight,play,title_results,2022-02-12 16:48:33
Florosaurus,DE,MVPD STB,0,hat,The Hateful Eight,select,title_results,2022-02-12 16:48:31
Florosaurus,DE,iPad,0,house,"House of Cards: Season 2: ""Chapter 24""",play,,2022-02-10 22:24:31
Florosaurus,DE,iPad,0,house,,select,,2022-02-10 22:23:27
Florosaurus,DE,iPad,0,oza,"Ozark: Season 4: ""The Beginning of the End""",play,,2022-01-22 11:32:30
Florosaurus,DE,iPad,0,oza,,select,,2022-01-22 11:32:19
Florosaurus,DE,iPad,0,str,"Stromberg: Staffel 3: ""Jennifer""",play,,2022-01-16 21:04:31
Florosaurus,DE,iPad,0,str,,select,,2022-01-16 21:04:19
Florosaurus,DE,iPad,0,the off,,select,,2022-01-16 17:16:34
Florosaurus,DE,Android Phone,0,the,"The Office (U.S.): Season 1: ""Pilot""",play,title_results,2022-01-16 02:03:41
Florosaurus,DE,Android Phone,0,the,,select,title_results,2022-01-16 02:03:25
Florosaurus,DE,Android Phone,0,moder,,select,title_results,2022-01-13 15:49:17
Florosaurus,DE,iPad,0,,Iron Man 3,select,prequery_results,2022-01-07 23:35:02
Florosaurus,DE,iPad,0,oz,,select,,2022-01-07 23:34:25
Florosaurus,DE,iPad,0,inter,Interstellar,play,,2022-01-03 18:28:00
Florosaurus,DE,iPad,0,inter,Interstellar,select,,2022-01-03 18:27:51
Florosaurus,DE,Android Phone,0,inter stell,Interstellar,select,title_results,2022-01-03 14:01:19
Florosaurus,DE,iPad,0,schlag,,select,,2022-01-02 17:21:13
Florosaurus,DE,iPad,0,schlag,,select,,2022-01-02 17:21:07
Florosaurus,DE,iPad,0,the irish,The Irishman,select,,2022-01-02 17:18:42
Florosaurus,DE,iPad,0,the ir,The Irishman,add,,2022-01-02 14:08:46
Florosaurus,DE,iPad,0,the ir,The Irishman,select,,2022-01-02 14:08:36
Florosaurus,DE,iPad,0,hate,The Hateful Eight,play,,2022-01-02 11:01:07
Florosaurus,DE,iPad,0,hate,The Hateful Eight,select,,2022-01-02 11:01:03
Florosaurus,DE,iPad,0,the re,The Revenant,play,,2021-12-30 17:13:17
Florosaurus,DE,iPad,0,the re,The Revenant,play,,2021-12-30 17:07:02
Florosaurus,DE,iPad,0,the re,The Revenant,select,,2021-12-30 17:06:52
Florosaurus,DE,iPad,0,dj,Django Unchained,select,,2021-12-28 20:18:26
Florosaurus,DE,iPad,0,dj,Django Unchained,play,,2021-12-28 17:24:04
Florosaurus,DE,iPad,0,dj,Django Unchained,select,,2021-12-28 17:23:57
Florosaurus,DE,iPad,0,über,"Over Christmas: Limited Series: ""Home Is Where the Tree Is""",play,,2021-12-11 07:10:38
Florosaurus,DE,iPad,0,über,,select,,2021-12-11 07:10:30
Florosaurus,DE,iPad,0,sein,"Seinfeld: Season 1: ""Male Unbonding""",play,,2021-12-05 18:57:29
Florosaurus,DE,iPad,0,sein,,select,,2021-12-05 18:57:24
Florosaurus,DE,iPad,0,your li,"Your Life Is a Joke: Season 1: ""Christian Ulmen""",play,,2021-11-20 13:56:18
Florosaurus,DE,iPad,0,your li,,select,,2021-11-20 13:55:58
Florosaurus,DE,iPad,0,your life,"Your Life Is a Joke: Season 1: ""Christian Ulmen""",play,,2021-11-17 20:59:46
Florosaurus,DE,iPad,0,your life,,select,,2021-11-17 20:59:40
Florosaurus,DE,iPad,0,bloodli,"Bloodline: Season 1: ""Part 3""",play,,2021-10-30 21:26:06
Florosaurus,DE,iPad,0,bloodli,,select,,2021-10-30 21:25:43
Florosaurus,DE,iPad,0,thie,Army of Thieves,play,,2021-10-30 06:09:56
Florosaurus,DE,iPad,0,thie,Army of Thieves,select,,2021-10-30 06:09:35
Florosaurus,DE,Android Phone,0,str,"Stromberg: Staffel 3: ""Lulu""",play,title_results,2021-10-23 23:52:48
Florosaurus,DE,Android Phone,0,str,"Stromberg: Staffel 3: ""Jennifer""",play,title_results,2021-10-23 23:46:08
Florosaurus,DE,Android Phone,0,str,,select,title_results,2021-10-23 23:45:43
Florosaurus,DE,Android Phone,0,str,,select,title_results,2021-10-23 23:45:42
Florosaurus,DE,Android Phone,0,str,"Stromberg: Staffel 5: ""Herr Rüther""",play,title_results,2021-10-23 23:45:29
Florosaurus,DE,Android Phone,0,str,,select,title_results,2021-10-23 23:45:26
Florosaurus,DE,Android Phone,0,str,Stromberg - Der Film,select,title_results,2021-10-23 23:45:24
Florosaurus,DE,Android Phone,0,stromberg,,select,title_results,2021-10-23 23:42:44
Florosaurus,DE,Android Phone,0,stromberg,,select,title_results,2021-10-23 23:42:42
Florosaurus,DE,iPad,0,otto,"Otto; or, Up With Dead People",select,suggestion_results,2021-10-05 00:42:49
Florosaurus,DE,iPad,0,otto,Otto - Der Neue Film,play,,2021-10-05 00:42:18
Florosaurus,DE,iPad,0,otto,Otto - Der Neue Film,select,,2021-10-05 00:41:44
Florosaurus,DE,iPad,0,bud,Uppercut,select,,2021-10-05 00:41:02
Florosaurus,DE,iPad,0,bud,Asterix & Obelix at the Olympics,select,,2021-10-05 00:40:43
Florosaurus,DE,Android Phone,0,sch,Schumacher,select,title_results,2021-09-18 07:25:01
Florosaurus,DE,Android Phone,0,str,"Stromberg: Staffel 5: ""Malik""",play,title_results,2021-09-05 13:14:18
Florosaurus,DE,Android Phone,0,str,,select,title_results,2021-09-05 13:14:06
